file,line,symbol,term,classification
6. Trader Group\README.md,15,,approved,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,8,,unknown,UNSAFE_FALLBACK
AUDIT_AUTHORITY_WRITE_MAP.md,9,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,10,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,11,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,12,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,13,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,14,,fixture,SIMULATION_ONLY
AUDIT_AUTHORITY_WRITE_MAP.md,15,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,16,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,17,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,18,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,19,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,20,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,21,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,22,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,23,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,24,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,25,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,26,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,27,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,28,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,29,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,30,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,31,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,32,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,33,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,34,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,35,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,36,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,37,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,38,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,39,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,40,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,41,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,42,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,43,,fixture,UNKNOWN
AUDIT_AUTHORITY_WRITE_MAP.md,44,,fixture,UNKNOWN
